5,40.63,16.38,15.99,15.59, 15.98
10,60.42,31.21,29.95,30.53, 30.62
15,72.58,45.57,42.66,42.36, 44.29
20,80.37,58.54,52.9,52.54, 57.05
25,84.98,68.66,60.83,60.27, 67.69
30,87.78,76.42,66.69,66.25, 76.59
35,89.69,81.14,71.4,71.41, 82
40,91.21,84.18,74.91,74.67, 84.6
45,92.48,85.87,78.11,78.11, 86.02
50,93.52,87.26,80.94,81.27, 87.21
55,94.41,88.47,83.46,83.38, 88.42
60,95.18,89.88,85.72,85.34, 89.81
65,95.87,90.97,87.74,87.92, 91.05
70,96.52,92.21,89.89,89.89, 92.05
75,97.11,93.25,91.05,91.47, 93.38
80,97.64,94.31,92.96,93.25, 94.52
85,98.09,95.43,94.77,94.58, 95.66
90,98.46,96.73,96.19,96.22, 96.81
95,98.76,97.9,97.43,97.51, 97.87
100,99,99,99,99, 99
