0, 0, 0, 0, 0, 0, 0
5,22.51,5.2,5.24,5.07, 5.21
10,35.48,9.93,9.93,10.2, 9.94
15,44.77,14.71,14.91,15.35, 15.03
20,51.99,20.33,20.27,20.07, 20.28
25,58.02,25.5,25.43,25.48, 25.62
30,63.2,30.39,30.42,29.58, 30.44
35,67.85,35.4,35.41,35.11, 35.47
40,71.91,40.33,40.24,40.15, 40.4
45,75.58,45.24,45.23,44.92, 45.29
50,78.85,50.22,49.85,49.8, 50.37
55,81.91,55.1,54.88,55.01, 55.29
60,84.74,59.93,60.45,59.86, 59.64
65,87.26,65.05,65.16,65.58, 65
70,89.47,69.83,69.34,69.44, 69.84
75,91.51,74.98,74.82,74.77, 74.69
80,93.41,79.59,79.2,79.33, 79.52
85,95.16,84.4,84.41,84.1, 84.92
90,96.68,89.15,89.3,89.21, 89.47
95,97.92,94.04,94.15,94.1, 94.15
100,99,99,99,99, 99
